seasonNumber,episodeNumber,episodeTitle,episodeAirDate,episodeDescription,millionViewers,averageRating,numVotes,Writer_1,Star_1,Duration,Director
1,1,Winter Is Coming,2011-04-17,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",2.22,9.0,46094,David Benioff,Sean Bean,62,Timothy Van Patten
1,2,The Kingsroad,2011-04-24,"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to The Wall. Tyrion joins them.",2.2,8.7,34997,David Benioff,Sean Bean,56,Timothy Van Patten
1,3,Lord Snow,2011-05-01,Lord Stark and his daughters arrive at King's Landing to discover the intrigues of the king's realm.,2.44,8.6,33145,David Benioff,Sean Bean,58,Brian Kirk
1,4,"Cripples, Bastards, and Broken Things",2011-05-08,"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.",2.45,8.7,31508,David Benioff,Sean Bean,56,Brian Kirk
1,5,The Wolf and the Lion,2011-05-15,"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at The Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.",2.58,9.0,32766,David Benioff,Sean Bean,55,Brian Kirk
1,6,A Golden Crown,2011-05-22,"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.",2.44,9.1,32404,David Benioff,Sean Bean,53,Daniel Minahan
1,7,You Win or You Die,2011-05-29,"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.",2.4,9.2,32925,David Benioff,Sean Bean,58,Daniel Minahan
1,8,The Pointy End,2011-06-05,"Eddard and his men are betrayed and captured by the Lannisters. When word reaches Robb, he plans to go to war to rescue them. The White Walkers attack The Wall. Tyrion returns to his father with some new friends.",2.72,9.0,30807,David Benioff,Sean Bean,59,Daniel Minahan
1,9,Baelor,2011-06-12,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,2.66,9.6,43021,David Benioff,Sean Bean,57,Alan Taylor
1,10,Fire and Blood,2011-06-19,"With Ned dead, Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.",3.04,9.5,37886,David Benioff,Sean Bean,53,Alan Taylor
2,1,The North Remembers,2012-04-01,Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.,3.86,8.7,29593,George R.R. Martin,Peter Dinklage,53,Alan Taylor
2,2,The Night Lands,2012-04-08,"Arya makes friends with Gendry. Tyrion tries to take control of the small council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret.",3.76,8.5,28039,George R.R. Martin,Peter Dinklage,54,Alan Taylor
2,3,What Is Dead May Never Die,2012-04-15,Tyrion tries to see who he can trust in the small council. Catelyn visits Renly to try and persuade him to join Robb in the war. Theon must decide if his loyalties lie with his own family or with Robb.,3.77,8.8,27725,George R.R. Martin,Peter Dinklage,53,Alik Sakharov
2,4,Garden of Bones,2012-04-22,"Lord Baelish arrives at Renly's camp just before he faces off against Stannis. Daenerys and her company are welcomed into the city of Qarth. Arya, Gendry, and Hot Pie find themselves imprisoned at Harrenhal.",3.65,8.7,26882,George R.R. Martin,Peter Dinklage,51,David Petrarca
2,5,The Ghost of Harrenhal,2012-04-29,"Tyrion investigates a secret weapon that King Joffrey plans to use against Stannis. Meanwhile, as a token for saving his life, Jaqen H'ghar offers to kill three people that Arya chooses.",3.9,8.7,27051,George R.R. Martin,Peter Dinklage,55,David Petrarca
2,6,The Old Gods and the New,2012-05-06,"Theon seizes control of Winterfell. Jon captures a wildling, named Ygritte. The people of King's Landing begin to turn against King Joffrey. Daenerys looks to buy ships to sail for the Seven Kingdoms.",3.88,9.0,28210,George R.R. Martin,Peter Dinklage,54,David Nutter
2,7,A Man Without Honor,2012-05-13,Bran and Rickon have escaped Winterfell. Theon tries to hunt them down. Daenerys' dragons have been stolen. Jon travels through the wilderness with Ygritte as his prisoner. Sansa has bled and is now ready to have Joffrey's children.,3.69,8.9,27474,George R.R. Martin,Peter Dinklage,56,David Nutter
2,8,The Prince of Winterfell,2012-05-20,"Stannis is just days from King's Landing. Tyrion prepares for his arrival. Jon and Qhorin are taken prisoner by the wildlings. Catelyn is arrested for releasing Jaime. Arya, Gendry, and Hot Pie plan to escape from Harrenhal.",3.86,8.7,27176,George R.R. Martin,Peter Dinklage,54,Alan Taylor
2,9,Blackwater,2012-05-27,Stannis Baratheon's fleet and army arrive at King's Landing and the battle for the city begins. Cersei plans for her and her children's future.,3.38,9.7,46707,George R.R. Martin,Peter Dinklage,55,Neil Marshall
2,10,Valar Morghulis,2012-06-03,Joffrey puts Sansa aside for Margaery Tyrell. Robb marries Talisa Maegyr. Jon prepares to meet Mance Rayder. Arya says farewell to Jaqen H'ghar. Daenerys tries to rescue her dragons.,4.2,9.4,33245,George R.R. Martin,Peter Dinklage,64,Alan Taylor
3,1,Valar Dohaeris,2013-03-31,"Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward. Littlefinger offers Sansa a way out.",4.37,8.7,29260,George R.R. Martin,Peter Dinklage,55,Daniel Minahan
3,2,"Dark Wings, Dark Words",2013-04-07,"Bran and company meet Jojen and Meera Reed. Arya, Gendry, and Hot Pie meet the Brotherhood. Jaime travels through the wilderness with Brienne. Sansa confesses her true feelings about Joffrey to Margaery.",4.27,8.5,26801,George R.R. Martin,Peter Dinklage,56,Daniel Minahan
3,3,Walk of Punishment,2013-04-14,Robb and Catelyn arrive at Riverrun for Lord Hoster Tully's funeral. Tywin names Tyrion the new Master of Coin. Arya says goodbye to Hot Pie. The Night's Watch returns to Craster's. Brienne and Jaime are taken prisoner.,4.72,8.8,27079,George R.R. Martin,Peter Dinklage,56,David Benioff
3,4,And Now His Watch Is Ended,2013-04-21,Jaime mopes over his lost hand. Cersei is growing uncomfortable with the Tyrells. The Night's Watch is growing impatient with Craster. Daenerys buys the Unsullied.,4.87,9.5,36481,George R.R. Martin,Peter Dinklage,53,Alex Graves
3,5,Kissed by Fire,2013-04-28,"Robb's army is falling apart. Jaime reveals a story, to Brienne, that he has never told anyone. Jon breaks his vows. The Hound is granted his freedom. The Lannisters hatch a new plan.",5.35,9.0,27761,George R.R. Martin,Peter Dinklage,57,Alex Graves
3,6,The Climb,2013-05-05,Jon and the wildlings scale The Wall. The Brotherhood sells Gendry to Melisandre. Robb does what he can to win back the Freys. Tyrion tells Sansa about their engagement.,5.5,8.8,27430,George R.R. Martin,Peter Dinklage,53,Alik Sakharov
3,7,The Bear and the Maiden Fair,2013-05-12,Jon and the wildlings travel south of The Wall. Talisa tells Robb that she's pregnant. Arya runs away from the Brotherhood. Daenerys arrives at Yunkai. Jaime leaves Brienne behind at Harrenhal.,4.84,8.7,26618,George R.R. Martin,Peter Dinklage,58,Michelle MacLaren
3,8,Second Sons,2013-05-19,Daenerys tries to persuade the Second Sons to join her against Yunkai. Stannis releases Davos from the dungeons. Sam and Gilly are attacked by a White Walker. Sansa and Tyrion wed.,5.13,9.0,27279,George R.R. Martin,Peter Dinklage,56,Michelle MacLaren
3,9,The Rains of Castamere,2013-06-02,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.,5.22,9.9,101309,George R.R. Martin,Emilia Clarke,51,David Nutter
4,1,Two Swords,2014-04-06,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon stands trial. Daenerys is pointed to Meereen, the mother of all slave cities. Arya runs into an old enemy.",6.64,9.0,33912,George R.R. Martin,Peter Dinklage,58,D.B. Weiss
4,2,The Lion and the Rose,2014-04-13,Joffrey and Margaery's wedding has come. Tyrion breaks up with Shae. Ramsay tries to prove his worth to his father. Bran and company find a Weirwood tree.,6.31,9.7,52566,George R.R. Martin,Peter Dinklage,52,Alex Graves
4,3,Breaker of Chains,2014-04-20,Tyrion is arrested for the murder of Joffrey and awaits trial. Sansa escapes King's Landing. Sam sends Gilly to Mole's Town as the Night's Watch finds itself in a tight spot. Meereen challenges Daenerys.,6.59,8.8,29107,George R.R. Martin,Peter Dinklage,57,Alex Graves
