tconst,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt1480055,tt0944947,1,1,9.0,46094
tt1668746,tt0944947,1,2,8.7,34997
tt1829962,tt0944947,1,3,8.6,33145
tt1829963,tt0944947,1,4,8.7,31508
tt1829964,tt0944947,1,5,9.0,32766
tt1837862,tt0944947,1,6,9.1,32404
tt1837863,tt0944947,1,7,9.2,32925
tt1837864,tt0944947,1,8,9.0,30807
tt1851397,tt0944947,1,10,9.5,37886
tt1851398,tt0944947,1,9,9.6,43021
tt1971833,tt0944947,2,1,8.7,29593
tt2069318,tt0944947,2,2,8.5,28039
tt2069319,tt0944947,2,4,8.7,26882
tt2070135,tt0944947,2,3,8.8,27725
tt2074658,tt0944947,2,5,8.7,27051
tt2084342,tt0944947,2,9,9.7,46707
tt2085238,tt0944947,2,6,9.0,28210
tt2085239,tt0944947,2,7,8.9,27474
tt2085240,tt0944947,2,8,8.7,27176
tt2112510,tt0944947,2,10,9.4,33245
tt2178772,tt0944947,3,2,8.5,26801
tt2178782,tt0944947,3,1,8.7,29260
tt2178784,tt0944947,3,9,9.9,101309
tt2178788,tt0944947,3,5,9.0,27761
tt2178796,tt0944947,3,10,9.1,30605
tt2178798,tt0944947,3,4,9.5,36481
tt2178802,tt0944947,3,3,8.8,27079
tt2178806,tt0944947,3,8,9.0,27279
tt2178812,tt0944947,3,6,8.8,27430
tt2178814,tt0944947,3,7,8.7,26618
tt2816136,tt0944947,4,1,9.0,33912
tt2832378,tt0944947,4,2,9.7,52566
tt2972426,tt0944947,4,3,8.8,29107
tt2972428,tt0944947,4,4,8.8,28018
tt3060782,tt0944947,4,8,9.7,52578
tt3060856,tt0944947,4,5,8.7,27248
tt3060858,tt0944947,4,9,9.6,45185
tt3060860,tt0944947,4,10,9.7,44632
tt3060876,tt0944947,4,7,9.1,30088
tt3060910,tt0944947,4,6,9.7,49850
tt3658012,tt0944947,5,1,8.4,29812
tt3658014,tt0944947,6,1,8.5,39317
tt3846626,tt0944947,5,2,8.5,26704
tt3866826,tt0944947,5,9,9.4,42923
tt3866836,tt0944947,5,3,8.5,25924
tt3866838,tt0944947,5,4,8.6,26580
tt3866840,tt0944947,5,5,8.6,26803
tt3866842,tt0944947,5,6,8.0,30012
tt3866846,tt0944947,5,7,8.9,29072
tt3866850,tt0944947,5,8,9.8,98542
tt3866862,tt0944947,5,10,9.1,41645
tt4077554,tt0944947,6,2,9.3,46046
tt4131606,tt0944947,6,3,8.7,33501
tt4283016,tt0944947,6,4,9.1,35984
tt4283028,tt0944947,6,5,9.7,69672
tt4283054,tt0944947,6,6,8.4,33221
tt4283060,tt0944947,6,7,8.5,32375
tt4283074,tt0944947,6,8,8.4,36532
tt4283088,tt0944947,6,9,9.9,203623
tt4283094,tt0944947,6,10,9.9,143565
tt5654088,tt0944947,7,1,8.6,50099
tt5655178,tt0944947,7,2,8.9,43607
tt5775840,tt0944947,7,3,9.2,45638
tt5775846,tt0944947,7,4,9.7,86505
tt5775854,tt0944947,7,5,8.8,43350
tt5775864,tt0944947,7,6,9.1,62987
tt5775874,tt0944947,7,7,9.4,62835
tt5924366,tt0944947,8,1,7.6,130244
tt6027908,tt0944947,8,2,7.8,128599
tt6027912,tt0944947,8,3,7.5,212672
tt6027914,tt0944947,8,4,5.5,162593
tt6027916,tt0944947,8,5,6.0,189472
tt6027920,tt0944947,8,6,4.0,242237
